Date,Time,SoilHumidity RAW,SoilHumidity %,Temperature CÂ°,AirPressure hPa, AirHumidity %
21.02.23,00:00:11,598,1,23,966.32,33 
21.02.23,00:00:21,598,1,23,966.30,32 
21.02.23,00:00:31,597,1,23,966.28,32 
21.02.23,00:00:41,596,1,23,966.30,32 
21.02.23,00:00:51,598,1,23,966.24,32 
21.02.23,00:01:01,597,1,23,966.29,32 
21.02.23,00:01:11,597,1,23,966.31,31 
21.02.23,00:01:21,598,1,23,966.26,31 
21.02.23,00:01:31,598,1,23,966.29,31 
21.02.23,00:01:41,597,1,23,966.32,31 
21.02.23,00:01:51,597,1,23,966.27,32 
21.02.23,00:02:01,596,1,23,966.26,31 
21.02.23,00:02:11,597,1,23,966.24,31 
21.02.23,00:02:21,597,1,23,966.25,31 
21.02.23,00:02:31,597,1,23,966.26,31 
21.02.23,00:02:41,597,1,23,966.29,31 
21.02.23,00:02:51,597,1,22,966.27,31 
21.02.23,00:03:01,596,1,22,966.25,31 
21.02.23,00:03:11,596,1,22,966.25,31 
21.02.23,00:03:21,597,1,22,966.24,31 
21.02.23,00:03:31,597,1,22,966.28,31 
21.02.23,00:03:41,597,1,22,966.25,31 
21.02.23,00:03:51,597,1,22,966.26,31 
21.02.23,00:04:01,596,1,22,966.24,31 
21.02.23,00:04:11,597,1,22,966.25,31 
21.02.23,00:04:21,596,1,22,966.26,31 
21.02.23,00:04:31,597,1,22,966.26,31 
21.02.23,00:04:41,596,1,22,966.24,32 
21.02.23,00:04:51,597,1,22,966.28,32 
21.02.23,00:05:01,597,1,22,966.24,32 
21.02.23,00:05:11,597,1,22,966.25,31 
21.02.23,00:05:21,596,1,22,966.23,31 
21.02.23,00:05:31,597,1,22,966.21,31 
21.02.23,00:05:41,596,1,22,966.21,31 
21.02.23,00:05:51,596,1,22,966.25,31 
21.02.23,00:06:01,597,1,22,966.25,31 
21.02.23,00:06:11,597,1,22,966.27,31 
21.02.23,00:06:21,597,1,22,966.26,31 
21.02.23,00:06:31,596,1,22,966.25,31 
21.02.23,00:06:41,596,1,22,966.26,31 
21.02.23,00:06:51,597,1,22,966.25,31 
21.02.23,00:07:01,597,1,22,966.25,31 
21.02.23,00:07:11,596,1,22,966.21,31 
21.02.23,00:07:21,597,1,22,966.21,31 
21.02.23,00:07:31,597,1,22,966.24,31 
21.02.23,00:07:41,597,1,22,966.22,31 
21.02.23,00:07:51,596,1,22,966.24,31 
21.02.23,00:08:01,596,1,22,966.22,31 
21.02.23,00:08:11,596,1,22,966.25,31 
21.02.23,00:08:21,597,1,22,966.23,31 
21.02.23,00:08:31,596,1,22,966.20,31 
21.02.23,00:08:41,596,1,22,966.20,31 
21.02.23,00:08:51,597,1,22,966.23,31 
21.02.23,00:09:01,596,1,22,966.20,31 
21.02.23,00:09:11,596,1,22,966.20,31 
21.02.23,00:09:21,597,1,22,966.24,31 
21.02.23,00:09:31,596,1,22,966.23,31 
21.02.23,00:09:41,559,11,22,966.21,31 
21.02.23,00:09:51,598,1,22,966.23,31 
21.02.23,00:10:01,598,1,22,966.23,32 
21.02.23,00:10:11,595,2,22,966.24,32 
21.02.23,00:10:21,586,4,22,966.24,32 
21.02.23,00:10:31,585,4,22,966.21,31 
21.02.23,00:10:41,585,4,22,966.22,31 
21.02.23,00:10:51,585,4,22,966.22,31 
21.02.23,00:11:01,584,4,22,966.20,31 
21.02.23,00:11:11,584,4,22,966.20,31 
21.02.23,00:11:21,583,5,22,966.23,31 
21.02.23,00:11:31,583,5,22,966.19,31 
21.02.23,00:11:41,584,4,22,966.17,31 
21.02.23,00:11:51,584,4,22,966.22,31 
21.02.23,00:12:01,583,5,22,966.16,31 
21.02.23,00:12:11,584,4,22,966.19,31 
21.02.23,00:12:21,583,5,22,966.20,31 
21.02.23,00:12:31,583,5,22,966.17,31 
21.02.23,00:12:41,583,5,22,966.17,31 
21.02.23,00:12:51,583,5,22,966.19,31 
21.02.23,00:13:01,582,5,21,966.20,31 
21.02.23,00:13:11,583,5,21,966.18,31 
21.02.23,00:13:21,583,5,21,966.20,31 
21.02.23,00:13:31,584,4,21,966.16,31 
21.02.23,00:13:41,582,5,21,966.16,31 
21.02.23,00:13:51,582,5,21,966.17,31 
21.02.23,00:14:01,583,5,21,966.16,31 
21.02.23,00:14:11,583,5,21,966.17,31 
21.02.23,00:14:21,583,5,21,966.15,31 
21.02.23,00:14:31,583,5,21,966.15,31 
21.02.23,00:14:41,583,5,21,966.13,31 
21.02.23,00:14:51,583,5,21,966.14,31 
21.02.23,00:15:01,583,5,21,966.15,31 
21.02.23,00:15:11,582,5,21,966.14,31 
21.02.23,00:15:21,582,5,21,966.12,31 
21.02.23,00:15:31,583,5,21,966.13,31 
21.02.23,00:15:41,583,5,21,966.14,31 
21.02.23,00:15:51,583,5,21,966.13,31 
21.02.23,00:16:01,582,5,21,966.11,31 
21.02.23,00:16:11,583,5,21,966.10,31 
21.02.23,00:16:21,582,5,21,966.12,31 
21.02.23,00:16:31,583,5,21,966.08,31 
21.02.23,00:16:41,583,5,21,966.11,31 
21.02.23,00:16:51,583,5,21,966.08,32 
21.02.23,00:17:01,583,5,21,966.09,32 
21.02.23,00:17:11,582,5,21,966.07,31 
21.02.23,00:17:21,582,5,21,966.09,31 
21.02.23,00:17:31,583,5,21,966.08,31 
21.02.23,00:17:41,582,5,21,966.09,31 
21.02.23,00:17:51,582,5,21,966.09,31 
21.02.23,00:18:01,582,5,21,966.09,31 
21.02.23,00:18:11,583,5,21,966.07,31 
21.02.23,00:18:21,583,5,21,966.11,31 
21.02.23,00:18:31,583,5,21,966.09,32 
21.02.23,00:18:41,582,5,21,966.09,32 
21.02.23,00:18:51,582,5,21,966.08,32 
21.02.23,00:19:01,582,5,21,966.06,32 
21.02.23,00:19:11,583,5,21,966.09,32 
21.02.23,00:19:21,583,5,21,966.04,32 
21.02.23,00:19:31,583,5,21,966.06,32 
21.02.23,00:19:41,582,5,21,966.07,32 
21.02.23,00:19:51,582,5,21,966.06,32 
21.02.23,00:20:01,582,5,21,966.06,32 
21.02.23,00:20:11,582,5,21,966.05,32 
21.02.23,00:20:21,582,5,21,966.05,32 
21.02.23,00:20:31,582,5,21,966.07,32 
21.02.23,00:20:41,583,5,21,966.06,32 
21.02.23,00:20:51,582,5,21,966.05,32 
21.02.23,00:21:01,583,5,21,966.05,32 
21.02.23,00:21:11,583,5,21,966.04,32 
21.02.23,00:21:21,582,5,21,966.03,32 
